"signup_cohort","acquisition_channel","total_users","churn_users","churn_rate_pct"
"2024-01-01 00:00:00+07","Ads",6,2,33.33
"2024-01-01 00:00:00+07","Referral",9,3,33.33
"2024-01-01 00:00:00+07","Organic",6,1,16.67
"2024-01-01 00:00:00+07","Affiliate",10,1,10.00
"2024-02-01 00:00:00+07","Organic",6,3,50.00
"2024-02-01 00:00:00+07","Referral",8,3,37.50
"2024-02-01 00:00:00+07","Ads",6,2,33.33
"2024-02-01 00:00:00+07","Affiliate",9,2,22.22
"2024-03-01 00:00:00+07","Ads",8,6,75.00
"2024-03-01 00:00:00+07","Affiliate",9,3,33.33
"2024-03-01 00:00:00+07","Organic",7,2,28.57
"2024-03-01 00:00:00+07","Referral",7,1,14.29
"2024-04-01 00:00:00+07","Organic",3,2,66.67
"2024-04-01 00:00:00+07","Affiliate",9,3,33.33
"2024-04-01 00:00:00+07","Referral",4,1,25.00
"2024-04-01 00:00:00+07","Ads",14,2,14.29
"2024-05-01 00:00:00+07","Ads",2,1,50.00
"2024-05-01 00:00:00+07","Affiliate",9,4,44.44
"2024-05-01 00:00:00+07","Referral",8,3,37.50
"2024-05-01 00:00:00+07","Organic",12,4,33.33
"2024-06-01 00:00:00+07","Organic",8,2,25.00
"2024-06-01 00:00:00+07","Referral",10,2,20.00
"2024-06-01 00:00:00+07","Ads",5,1,20.00
"2024-06-01 00:00:00+07","Affiliate",7,1,14.29
"2024-07-01 00:00:00+07","Affiliate",5,3,60.00
"2024-07-01 00:00:00+07","Referral",12,4,33.33
"2024-07-01 00:00:00+07","Organic",8,1,12.50
"2024-07-01 00:00:00+07","Ads",6,0,0.00
"2024-08-01 00:00:00+07","Referral",7,3,42.86
"2024-08-01 00:00:00+07","Organic",6,2,33.33
"2024-08-01 00:00:00+07","Ads",8,2,25.00
"2024-08-01 00:00:00+07","Affiliate",10,2,20.00
"2024-09-01 00:00:00+07","Referral",2,1,50.00
"2024-09-01 00:00:00+07","Organic",3,1,33.33
"2024-09-01 00:00:00+07","Ads",1,0,0.00
