"user_id","acquisition_channel","city","last_activity_date","days_inactive","is_churn"
147,"Referral","Jakarta","2025-03-10",436,0
188,"Referral","Surabaya","2025-03-22",424,0
1,"Referral","Jakarta","2025-03-26",420,0
218,"Organic","Jakarta","2025-03-29",417,0
79,"Referral","Jakarta","2025-03-29",417,0
113,"Affiliate","Jakarta","2025-03-30",416,0
186,"Organic","Surabaya","2025-03-30",416,0
132,"Organic","Bandung","2025-03-30",416,0
245,"Referral","Surabaya","2025-03-31",415,0
47,"Affiliate","Jakarta","2025-03-31",415,0
163,"Affiliate","Surabaya","2025-04-01",414,0
25,"Affiliate","Surabaya","2025-04-01",414,0
238,"Ads","Jakarta","2025-04-02",413,0
28,"Ads","Bandung","2025-04-02",413,0
156,"Ads","Jakarta","2025-04-03",412,0
105,"Ads","Bandung","2025-04-03",412,0
64,"Organic","Jakarta","2025-04-04",411,0
2,"Affiliate","Bandung","2025-04-04",411,0
57,"Affiliate","Surabaya","2025-04-05",410,0
91,"Affiliate","Jakarta","2025-04-06",409,0
127,"Ads","Surabaya","2025-04-06",409,0
225,"Ads","Surabaya","2025-04-07",408,0
193,"Organic","Jakarta","2025-04-07",408,0
42,"Referral","Jakarta","2025-04-09",406,0
174,"Affiliate","Surabaya","2025-04-09",406,0
142,"Organic","Surabaya","2025-04-10",405,0
240,"Affiliate","Surabaya","2025-04-10",405,0
195,"Referral","Jakarta","2025-04-11",404,0
9,"Referral","Surabaya","2025-04-11",404,0
233,"Affiliate","Surabaya","2025-04-11",404,0
20,"Referral","Jakarta","2025-04-11",404,0
209,"Ads","Surabaya","2025-04-11",404,0
216,"Organic","Bandung","2025-04-12",403,0
52,"Ads","Jakarta","2025-04-13",402,0
46,"Affiliate","Bandung","2025-04-13",402,0
65,"Referral","Surabaya","2025-04-13",402,0
221,"Referral","Bandung","2025-04-14",401,0
246,"Ads","Jakarta","2025-04-14",401,0
61,"Referral","Jakarta","2025-04-14",401,0
69,"Affiliate","Jakarta","2025-04-15",400,0
24,"Affiliate","Jakarta","2025-04-16",399,0
126,"Affiliate","Bandung","2025-04-16",399,0
99,"Ads","Surabaya","2025-04-16",399,0
158,"Ads","Jakarta","2025-04-16",399,0
100,"Organic","Bandung","2025-04-17",398,0
239,"Referral","Jakarta","2025-04-17",398,0
94,"Ads","Bandung","2025-04-17",398,0
8,"Organic","Bandung","2025-04-17",398,0
178,"Referral","Bandung","2025-04-17",398,0
82,"Affiliate","Jakarta","2025-04-17",398,0
197,"Ads","Surabaya","2025-04-18",397,0
30,"Affiliate","Surabaya","2025-04-18",397,0
77,"Affiliate","Surabaya","2025-04-18",397,0
206,"Organic","Bandung","2025-04-18",397,0
199,"Organic","Bandung","2025-04-18",397,0
191,"Referral","Jakarta","2025-04-18",397,0
168,"Referral","Surabaya","2025-04-18",397,0
72,"Ads","Jakarta","2025-04-19",396,0
149,"Organic","Bandung","2025-04-19",396,0
212,"Referral","Surabaya","2025-04-19",396,0
214,"Referral","Bandung","2025-04-19",396,0
106,"Ads","Surabaya","2025-04-19",396,0
107,"Ads","Jakarta","2025-04-19",396,0
228,"Ads","Jakarta","2025-04-19",396,0
230,"Organic","Bandung","2025-04-19",396,0
23,"Ads","Jakarta","2025-04-19",396,0
22,"Organic","Bandung","2025-04-19",396,0
207,"Affiliate","Bandung","2025-04-19",396,0
201,"Referral","Surabaya","2025-04-20",395,0
236,"Affiliate","Surabaya","2025-04-20",395,0
75,"Organic","Surabaya","2025-04-20",395,0
217,"Affiliate","Surabaya","2025-04-20",395,0
18,"Affiliate","Jakarta","2025-04-20",395,0
133,"Organic","Jakarta","2025-04-21",394,0
194,"Referral","Jakarta","2025-04-21",394,0
19,"Affiliate","Jakarta","2025-04-21",394,0
114,"Ads","Jakarta","2025-04-21",394,0
226,"Ads","Surabaya","2025-04-21",394,0
181,"Organic","Bandung","2025-04-21",394,0
173,"Referral","Surabaya","2025-04-21",394,0
170,"Ads","Jakarta","2025-04-22",393,0
210,"Organic","Jakarta","2025-04-22",393,0
3,"Organic","Jakarta","2025-04-22",393,0
26,"Ads","Jakarta","2025-04-22",393,0
151,"Referral","Jakarta","2025-04-22",393,0
208,"Affiliate","Bandung","2025-04-22",393,0
38,"Organic","Jakarta","2025-04-23",392,0
190,"Ads","Jakarta","2025-04-23",392,0
104,"Affiliate","Jakarta","2025-04-23",392,0
131,"Affiliate","Bandung","2025-04-23",392,0
243,"Affiliate","Surabaya","2025-04-23",392,0
112,"Referral","Surabaya","2025-04-23",392,0
118,"Ads","Jakarta","2025-04-23",392,0
7,"Organic","Bandung","2025-04-23",392,0
54,"Affiliate","Jakarta","2025-04-23",392,0
101,"Referral","Bandung","2025-04-23",392,0
189,"Referral","Jakarta","2025-04-24",391,0
15,"Affiliate","Jakarta","2025-04-24",391,0
40,"Referral","Jakarta","2025-04-24",391,0
55,"Referral","Surabaya","2025-04-24",391,0
119,"Affiliate","Bandung","2025-04-24",391,0
187,"Ads","Bandung","2025-04-24",391,0
204,"Organic","Jakarta","2025-04-24",391,0
223,"Ads","Jakarta","2025-04-24",391,0
234,"Affiliate","Jakarta","2025-04-24",391,0
235,"Affiliate","Jakarta","2025-04-24",391,0
122,"Organic","Bandung","2025-04-25",390,0
130,"Affiliate","Bandung","2025-04-25",390,0
175,"Affiliate","Jakarta","2025-04-25",390,0
35,"Ads","Surabaya","2025-04-25",390,0
4,"Referral","Bandung","2025-04-25",390,0
140,"Organic","Bandung","2025-04-25",390,0
11,"Referral","Surabaya","2025-04-25",390,0
219,"Affiliate","Surabaya","2025-04-25",390,0
56,"Affiliate","Bandung","2025-04-25",390,0
5,"Referral","Bandung","2025-04-25",390,0
102,"Ads","Jakarta","2025-04-25",390,0
183,"Ads","Bandung","2025-04-25",390,0
144,"Affiliate","Jakarta","2025-04-26",389,0
138,"Organic","Surabaya","2025-04-26",389,0
164,"Affiliate","Jakarta","2025-04-26",389,0
179,"Organic","Jakarta","2025-04-26",389,0
182,"Referral","Bandung","2025-04-26",389,0
108,"Affiliate","Jakarta","2025-04-26",389,0
88,"Organic","Bandung","2025-04-26",389,0
85,"Referral","Bandung","2025-04-26",389,0
