"user_id","days_since_last_activity","loan_count","avg_transaction_amount"
11,89,6,2858892.67
216,89,6,2669376.17
103,89,7,1963707.86
109,89,5,3247110.20
16,88,6,2700895.67
79,88,3,2034702.00
126,88,6,4198204.50
134,88,2,788346.50
67,87,5,4821669.60
113,87,5,4005372.40
140,86,3,3193098.00
225,86,7,3204562.14
96,85,5,3821091.20
98,84,6,2468037.50
142,84,2,1189586.00
182,83,4,4714321.25
191,83,2,4814025.50
26,83,6,2963748.67
180,82,6,2261711.83
9,80,4,3591475.75
153,80,7,2920837.29
147,80,7,3805538.57
47,79,3,3808071.33
248,77,7,2721007.57
19,77,4,2424696.75
213,76,4,3341450.50
171,76,4,2691219.75
17,74,3,4269423.33
99,72,6,3302047.17
218,72,4,3151335.75
46,72,4,4326795.50
135,72,6,4445927.67
86,71,6,2832578.17
33,71,5,4627241.60
7,70,7,3748043.00
107,70,6,3149758.83
51,69,7,4669857.14
6,69,6,3263206.50
238,69,2,3451676.50
188,69,6,3911977.33
151,68,3,5296275.33
110,68,4,1831634.75
30,67,6,3953530.17
240,67,5,1499507.80
73,65,2,1451002.50
181,65,3,3884635.00
118,64,4,3417961.00
149,64,5,5913858.20
204,63,7,4110257.43
35,63,5,2022718.40
150,62,4,1928146.75
69,62,6,4698270.50
37,61,2,1590966.00
40,60,3,3720463.67
32,60,4,2390225.50
154,59,2,3879498.50
196,57,7,3595654.43
42,56,6,4745164.33
219,56,3,4694054.33
235,56,7,3159131.57
227,56,5,2745803.00
131,55,2,4156815.00
174,55,6,4682619.50
189,55,7,2545225.29
245,54,5,2870494.60
183,54,5,3874684.20
210,52,5,4552307.80
22,52,3,4603681.67
114,51,5,4178559.40
1,51,7,4252809.86
77,51,2,5469646.00
226,50,6,3320110.00
230,50,3,4087792.67
193,50,4,4105416.00
24,49,6,2443253.17
179,49,7,3233034.57
236,46,7,1787861.43
233,45,2,4799637.00
165,45,5,3092185.80
164,44,7,4783760.86
152,43,5,3652776.40
100,42,5,2976495.40
18,41,7,4380924.57
200,41,3,4713214.00
173,41,5,3565217.40
190,40,5,3206591.60
2,39,6,3331624.67
58,39,7,4307460.14
207,38,4,4067131.00
54,38,6,3981153.17
138,38,6,4690292.83
199,38,6,3489994.17
127,37,5,2207784.80
121,37,4,4965699.25
23,34,2,2713549.00
194,33,4,3986441.00
93,33,7,3464867.71
3,33,6,3574122.67
61,33,2,6210277.00
169,33,4,2805479.50
52,33,5,3707382.60
4,33,2,2630617.50
206,32,7,3233473.57
94,32,4,4301208.25
8,31,5,3656611.80
70,31,4,2429921.25
10,31,4,3860386.25
130,31,6,3021771.00
