user_id,is_churn,churn_prob,risk_segment,loan_count,days_since_last_activity,avg_transaction_amount
1,0,0.22441933164619676,Low-Risk,7,51,4252809.857142857
2,0,0.22262459031087917,Low-Risk,6,39,3331624.6666666665
3,0,0.20432529197447244,Low-Risk,6,33,3574122.6666666665
4,0,0.2761344787566,Low-Risk,2,33,2630617.5
5,0,0.21439146916067078,Low-Risk,5,29,4629784.8
6,0,0.26870526299243697,Low-Risk,6,69,3263206.5
7,0,0.25975612390275615,Low-Risk,7,70,3748043.0
8,0,0.22985552131677303,Low-Risk,5,31,3656611.8
9,0,0.28218653088357254,Low-Risk,4,80,3591475.75
10,0,0.17270319773289675,Low-Risk,4,31,3860386.25
11,0,0.3388885978961692,Medium-Risk,6,89,2858892.6666666665
12,1,0.7666490072049369,High-Risk,1,46,5946899.0
13,1,0.4893062051842164,Medium-Risk,4,77,2800113.5
14,1,0.38284907504090293,Medium-Risk,2,52,2593506.0
15,0,0.18533085985340988,Low-Risk,3,10,2229438.333333333
16,0,0.2875552058869749,Low-Risk,6,88,2700895.6666666665
17,0,0.19364011289015892,Low-Risk,3,74,4269423.333333333
18,0,0.3225501089017807,Medium-Risk,7,41,4380924.571428572
19,0,0.26661862594134467,Low-Risk,4,77,2424696.75
20,0,0.1969925205756524,Low-Risk,4,3,3329208.75
21,1,0.6111257395926939,High-Risk,2,59,2792980.5
22,0,0.21379774477450372,Low-Risk,3,52,4603681.666666667
23,0,0.3081410219614433,Medium-Risk,2,34,2713549.0
24,0,0.24323447206779142,Low-Risk,6,49,2443253.1666666665
25,0,0.21756976442651585,Low-Risk,6,28,3625949.8333333335
26,0,0.4453675930764681,Medium-Risk,6,83,2963748.6666666665
27,1,0.6164522532340049,High-Risk,3,87,2958655.6666666665
28,0,0.27563142116758843,Low-Risk,2,13,4884796.0
29,1,0.5804136469201303,Medium-Risk,3,69,2977005.6666666665
30,0,0.18142090035270425,Low-Risk,6,67,3953530.1666666665
31,1,0.5377807815476126,Medium-Risk,4,61,3108101.0
32,0,0.24788929413065952,Low-Risk,4,60,2390225.5
33,0,0.2956869535866472,Low-Risk,5,71,4627241.6
34,0,0.17422294707436958,Low-Risk,2,24,5820295.5
35,0,0.2498580281759433,Low-Risk,5,63,2022718.4
36,1,0.5687713891404909,Medium-Risk,4,86,3100240.25
37,0,0.3930251633861808,Medium-Risk,2,61,1590966.0
38,0,0.2745585157788059,Low-Risk,6,23,3574515.333333333
39,1,0.28471931261647154,Low-Risk,5,30,3190685.0
40,0,0.1897816341298212,Low-Risk,3,60,3720463.6666666665
41,0,0.23357162950725974,Low-Risk,6,18,2901600.1666666665
42,0,0.1750026802876847,Low-Risk,6,56,4745164.333333333
43,1,0.877159473148438,High-Risk,1,53,871279.0
44,1,0.49234751607133487,Medium-Risk,6,7,3134232.333333333
45,1,0.8463129559293937,High-Risk,1,69,2076230.0
46,0,0.23205068701143383,Low-Risk,4,72,4326795.5
47,0,0.26223876797070467,Low-Risk,3,79,3808071.3333333335
48,1,0.8919782029770233,High-Risk,1,52,2903005.0
49,0,0.26549048883497856,Low-Risk,2,4,3860651.0
50,1,0.5265588575259184,Medium-Risk,6,34,3140447.833333333
51,0,0.2636159829568443,Low-Risk,7,69,4669857.142857143
52,0,0.3131637422529892,Medium-Risk,5,33,3707382.6
53,1,0.5342941400117849,Medium-Risk,7,69,3061114.1428571427
54,0,0.24886534030974555,Low-Risk,6,38,3981153.1666666665
55,0,0.3388658886250491,Medium-Risk,3,26,4315483.333333333
56,0,0.1836642250356602,Low-Risk,6,1,3895085.6666666665
57,0,0.17379397439480124,Low-Risk,3,4,2178402.333333333
58,0,0.39996426083195447,Medium-Risk,7,39,4307460.142857143
59,1,0.5731952660083194,Medium-Risk,7,54,2871908.285714286
60,1,0.5742041559109162,Medium-Risk,7,33,3293932.8571428573
61,0,0.26702720142724684,Low-Risk,2,33,6210277.0
62,1,0.8871891371142604,High-Risk,1,72,5086145.0
63,0,0.2868912402346352,Low-Risk,3,20,3401288.333333333
64,0,0.349328640143403,Medium-Risk,2,16,1658458.0
65,0,0.3253616339677467,Medium-Risk,2,21,3141300.5
66,1,0.4224098639006286,Medium-Risk,2,45,4738213.5
67,0,0.33918069907271087,Medium-Risk,5,87,4821669.6
68,1,0.6211288974540561,High-Risk,2,82,3154994.5
69,0,0.2265844925829874,Low-Risk,6,62,4698270.5
70,0,0.2804318250618568,Low-Risk,4,31,2429921.25
71,1,0.8634771147967952,High-Risk,1,42,867128.0
72,0,0.3600282700865082,Medium-Risk,7,12,2459625.8571428573
73,0,0.39527903661588654,Medium-Risk,2,65,1451002.5
74,1,0.8787616507643472,High-Risk,1,73,965718.0
75,0,0.2520888823223868,Low-Risk,5,3,2130563.4
76,1,0.47422113287979806,Medium-Risk,4,9,4491170.0
77,0,0.19060997860029016,Low-Risk,2,51,5469646.0
78,1,0.19445109022665238,Low-Risk,6,16,2688781.833333333
79,0,0.371327955772216,Medium-Risk,3,88,2034702.0
80,1,0.49352373251958,Medium-Risk,4,78,1977575.75
81,0,0.1785567530912413,Low-Risk,3,3,4464822.666666667
82,0,0.25130757519406155,Low-Risk,3,24,3382350.333333333
83,1,0.4678422722456031,Medium-Risk,6,73,4739296.5
84,0,0.2719149758668965,Low-Risk,3,13,3290987.333333333
85,0,0.1473451056124149,Low-Risk,4,2,2411691.5
86,0,0.4067324743565166,Medium-Risk,6,71,2832578.1666666665
87,1,0.28538076175723004,Low-Risk,6,21,2981133.833333333
88,0,0.2716331488420145,Low-Risk,4,19,3547841.5
89,1,0.8470735468742157,High-Risk,1,89,547628.0
90,1,0.8885256386254378,High-Risk,1,47,3119065.0
91,0,0.535314967537289,Medium-Risk,1,22,2748191.0
92,1,0.5588386108402138,Medium-Risk,7,75,2969965.285714286
93,0,0.2112020055207067,Low-Risk,7,33,3464867.714285714
94,0,0.36687081877922806,Medium-Risk,4,32,4301208.25
95,1,0.49226021284261606,Medium-Risk,2,64,4451547.5
96,0,0.32997189735134624,Medium-Risk,5,85,3821091.2
97,1,0.6778151524681592,High-Risk,1,39,6163389.0
98,0,0.19723930125977063,Low-Risk,6,84,2468037.5
99,0,0.3811696809190602,Medium-Risk,6,72,3302047.1666666665
100,0,0.2747863931490378,Low-Risk,5,42,2976495.4
101,0,0.3550544318286423,Medium-Risk,2,9,3045617.5
102,0,0.39163072638050594,Medium-Risk,7,25,3629636.0
103,0,0.29297331151880374,Low-Risk,7,89,1963707.857142857
104,0,0.5761464490212922,Medium-Risk,1,2,5115551.0
105,0,0.1506727164458457,Low-Risk,2,19,6593978.0
106,0,0.4058333644080131,Medium-Risk,1,20,6324594.0
107,0,0.29465876326117263,Low-Risk,6,70,3149758.833333333
108,0,0.2763867762497068,Low-Risk,2,17,6217769.0
109,0,0.23077572750757902,Low-Risk,5,89,3247110.2
110,0,0.22958240245553083,Low-Risk,4,68,1831634.75
111,1,0.8501688527720479,High-Risk,1,84,2589913.0
112,0,0.5079965547111764,Medium-Risk,1,3,2778306.0
113,0,0.2558830318045226,Low-Risk,5,87,4005372.4
114,0,0.31412849624271805,Medium-Risk,5,51,4178559.4
115,1,0.8848076555062561,High-Risk,1,82,4076808.0
116,1,0.5049944155528133,Medium-Risk,7,26,4119351.5714285714
117,1,0.46899521815049783,Medium-Risk,5,56,3586549.4
118,0,0.3572677368443461,Medium-Risk,4,64,3417961.0
119,0,0.27178815222873093,Low-Risk,6,8,2657952.1666666665
120,1,0.8385593664943012,High-Risk,1,81,5369262.0
