user_id,loan_count,avg_transaction_amount,days_since_last_activity,is_churn,churn_date
1,7,4252809.857142857,51,0,
2,6,3331624.6666666665,39,0,
3,6,3574122.6666666665,33,0,
4,2,2630617.5,33,0,
5,5,4629784.8,29,0,
6,6,3263206.5,69,0,
7,7,3748043.0,70,0,
8,5,3656611.8,31,0,
9,4,3591475.75,80,0,
10,4,3860386.25,31,0,
11,6,2858892.6666666665,89,0,
12,1,5946899.0,46,1,1736294400000000000
13,4,2800113.5,77,1,1738713600000000000
14,2,2593506.0,52,1,1735948800000000000
15,3,2229438.3333333335,10,0,
16,6,2700895.6666666665,88,0,
17,3,4269423.333333333,74,0,
18,7,4380924.571428572,41,0,
19,4,2424696.75,77,0,
20,4,3329208.75,3,0,
21,2,2792980.5,59,1,1735948800000000000
22,3,4603681.666666667,52,0,
23,2,2713549.0,34,0,
24,6,2443253.1666666665,49,0,
25,6,3625949.8333333335,28,0,
26,6,2963748.6666666665,83,0,
27,3,2958655.6666666665,87,1,1737676800000000000
28,2,4884796.0,13,0,
29,3,2977005.6666666665,69,1,1743379200000000000
30,6,3953530.1666666665,67,0,
31,4,3108101.0,61,1,1743379200000000000
32,4,2390225.5,60,0,
33,5,4627241.6,71,0,
34,2,5820295.5,24,0,
35,5,2022718.4,63,0,
36,4,3100240.25,86,1,1735948800000000000
37,2,1590966.0,61,0,
38,6,3574515.3333333335,23,0,
39,5,3190685.0,30,1,1742428800000000000
40,3,3720463.6666666665,60,0,
41,6,2901600.1666666665,18,0,
42,6,4745164.333333333,56,0,
43,1,871279.0,53,1,1736467200000000000
44,6,3134232.3333333335,7,1,1740355200000000000
45,1,2076230.0,69,1,1737676800000000000
46,4,4326795.5,72,0,
47,3,3808071.3333333335,79,0,
48,1,2903005.0,52,1,1740009600000000000
49,2,3860651.0,4,0,
50,6,3140447.8333333335,34,1,1742256000000000000
51,7,4669857.142857143,69,0,
52,5,3707382.6,33,0,
53,7,3061114.1428571427,69,1,1736640000000000000
54,6,3981153.1666666665,38,0,
55,3,4315483.333333333,26,0,
56,6,3895085.6666666665,1,0,
57,3,2178402.3333333335,4,0,
58,7,4307460.142857143,39,0,
59,7,2871908.285714286,54,1,1740960000000000000
60,7,3293932.8571428573,33,1,1738195200000000000
61,2,6210277.0,33,0,
62,1,5086145.0,72,1,1736640000000000000
63,3,3401288.3333333335,20,0,
64,2,1658458.0,16,0,
65,2,3141300.5,21,0,
66,2,4738213.5,45,1,1742601600000000000
67,5,4821669.6,87,0,
68,2,3154994.5,82,1,1739923200000000000
69,6,4698270.5,62,0,
70,4,2429921.25,31,0,
71,1,867128.0,42,1,1738627200000000000
72,7,2459625.8571428573,12,0,
73,2,1451002.5,65,0,
74,1,965718.0,73,1,1739664000000000000
75,5,2130563.4,3,0,
76,4,4491170.0,9,1,1738713600000000000
77,2,5469646.0,51,0,
78,6,2688781.8333333335,16,1,1740960000000000000
79,3,2034702.0,88,0,
80,4,1977575.75,78,1,1740355200000000000
81,3,4464822.666666667,3,0,
82,3,3382350.3333333335,24,0,
83,6,4739296.5,73,1,1741219200000000000
84,3,3290987.3333333335,13,0,
85,4,2411691.5,2,0,
86,6,2832578.1666666665,71,0,
87,6,2981133.8333333335,21,1,1736553600000000000
88,4,3547841.5,19,0,
89,1,547628.0,89,1,1737331200000000000
90,1,3119065.0,47,1,1739750400000000000
91,1,2748191.0,22,0,
92,7,2969965.285714286,75,1,1737331200000000000
93,7,3464867.714285714,33,0,
94,4,4301208.25,32,0,
95,2,4451547.5,64,1,1737590400000000000
96,5,3821091.2,85,0,
97,1,6163389.0,39,1,1743033600000000000
98,6,2468037.5,84,0,
99,6,3302047.1666666665,72,0,
100,5,2976495.4,42,0,
101,2,3045617.5,9,0,
102,7,3629636.0,25,0,
103,7,1963707.857142857,89,0,
104,1,5115551.0,2,0,
105,2,6593978.0,19,0,
106,1,6324594.0,20,0,
107,6,3149758.8333333335,70,0,
108,2,6217769.0,17,0,
109,5,3247110.2,89,0,
110,4,1831634.75,68,0,
111,1,2589913.0,84,1,1737158400000000000
112,1,2778306.0,3,0,
113,5,4005372.4,87,0,
114,5,4178559.4,51,0,
115,1,4076808.0,82,1,1738800000000000000
116,7,4119351.5714285714,26,1,1737504000000000000
117,5,3586549.4,56,1,1741132800000000000
118,4,3417961.0,64,0,
119,6,2657952.1666666665,8,0,
120,1,5369262.0,81,1,1736208000000000000
121,4,4965699.25,37,0,
122,2,2380439.5,27,0,
123,1,4749292.0,45,1,1742342400000000000
124,5,2223431.6,4,0,
125,1,4519425.0,86,1,1740441600000000000
126,6,4198204.5,88,0,
127,5,2207784.8,37,0,
128,1,3842849.0,71,1,1742774400000000000
129,1,5215011.0,33,1,1740960000000000000
130,6,3021771.0,31,0,
131,2,4156815.0,55,0,
132,2,3748813.0,12,0,
133,2,4448621.0,11,0,
134,2,788346.5,88,0,
135,6,4445927.666666667,72,0,
136,6,4580775.666666667,32,1,1743292800000000000
137,7,2366284.0,57,1,1739145600000000000
138,6,4690292.833333333,38,0,
139,1,4172091.0,60,1,1737763200000000000
140,3,3193098.0,86,0,
141,3,5063482.0,19,1,1736553600000000000
142,2,1189586.0,84,0,
143,7,3216724.8571428573,56,1,1737590400000000000
144,3,2560522.6666666665,14,0,
145,1,1422014.0,33,1,1736208000000000000
146,2,1929573.0,10,1,1741305600000000000
147,7,3805538.5714285714,80,0,
148,1,2867549.0,64,1,1736380800000000000
149,5,5913858.2,64,0,
150,4,1928146.75,62,0,
151,3,5296275.333333333,68,0,
152,5,3652776.4,43,0,
153,7,2920837.285714286,80,0,
154,2,3879498.5,59,0,
155,7,3931156.1428571427,52,1,1739318400000000000
156,3,4691432.666666667,19,0,
157,3,4504559.666666667,21,0,
158,6,4775525.5,22,0,
159,6,2865694.5,9,0,
160,5,1784857.8,9,0,
161,6,3228707.8333333335,73,1,1743292800000000000
162,5,4289998.8,27,0,
163,2,4613061.5,17,0,
164,7,4783760.857142857,44,0,
165,5,3092185.8,45,0,
166,7,3344878.0,8,1,1737244800000000000
167,1,4994097.0,80,1,1737763200000000000
168,3,4318232.333333333,18,0,
169,4,2805479.5,33,0,
170,5,2666556.4,1,0,
171,4,2691219.75,76,0,
172,6,2497222.6666666665,6,0,
173,5,3565217.4,41,0,
174,6,4682619.5,55,0,
175,7,4157337.714285714,5,0,
176,6,3528433.8333333335,59,1,1741737600000000000
177,4,4169708.5,80,1,1737072000000000000
178,6,4775366.5,18,0,
179,7,3233034.5714285714,49,0,
180,6,2261711.8333333335,82,0,
181,3,3884635.0,65,0,
182,4,4714321.25,83,0,
183,5,3874684.2,54,0,
184,6,4740662.166666667,61,1,1737244800000000000
185,3,3718110.0,8,1,1737331200000000000
186,3,5126107.0,3,0,
187,1,5294914.0,25,0,
