user_id,transaction_date,amount
1,2025-01-30,4967920
1,2025-03-22,4660351
1,2025-02-01,4813094
1,2025-04-20,3395453
1,2025-03-11,5970747
1,2025-04-25,3725613
1,2025-03-29,2236491
2,2025-04-12,4268986
2,2025-02-03,4813297
2,2025-02-09,3191287
2,2025-02-16,812932
2,2025-03-20,5821975
2,2025-03-16,1081271
3,2025-04-17,6777237
3,2025-01-28,2757303
3,2025-04-14,5490656
3,2025-03-12,3133361
3,2025-01-23,1804491
3,2025-03-26,1481688
4,2025-02-04,1076778
4,2025-04-26,4184457
5,2025-03-23,3898057
5,2025-04-02,3298747
5,2025-01-24,5550106
5,2025-01-08,5576049
5,2025-04-16,4825965
6,2025-01-05,1266572
6,2025-04-07,4857812
6,2025-02-18,2589799
6,2025-04-08,5858851
6,2025-01-30,4826234
6,2025-03-13,179971
7,2025-02-09,5635806
7,2025-04-02,1415502
7,2025-02-08,4480088
7,2025-03-03,5579716
7,2025-04-13,6879617
7,2025-04-02,1299110
7,2025-03-19,946462
8,2025-04-18,1294737
8,2025-04-22,3643525
8,2025-01-25,6796579
8,2025-01-07,498825
8,2025-04-12,6049393
9,2025-04-21,330596
9,2025-04-16,5962210
9,2025-01-20,5093899
9,2025-03-24,2979198
10,2025-01-07,1533482
10,2025-01-23,6597127
10,2025-03-02,6916578
10,2025-03-12,394358
11,2025-04-25,1682369
11,2025-03-23,5070345
11,2025-02-10,3086386
11,2025-02-17,1281753
11,2025-02-14,1347752
11,2025-04-16,4684751
12,2025-03-19,5946899
13,2025-03-20,950712
13,2025-03-21,4047922
13,2025-01-27,5460678
13,2025-04-14,741142
14,2025-01-28,4604562
14,2025-03-26,582450
15,2025-04-22,1619598
15,2025-01-10,2309485
15,2025-03-24,2759232
16,2025-02-17,760501
16,2025-01-02,1658274
16,2025-03-17,4922884
16,2025-02-23,747272
16,2025-01-06,4832369
16,2025-04-17,3284074
17,2025-04-04,1523271
17,2025-01-02,4718219
17,2025-03-14,6566780
18,2025-03-13,5137825
18,2025-04-11,6896636
18,2025-04-28,2606976
18,2025-03-01,6782313
