user_id,signup_date,acquisition_channel,age,city
1,2024-01-01,Referral,33.0,Jakarta
2,2024-01-02,Affiliate,23.0,Bandung
3,2024-01-03,Organic,26.0,Jakarta
4,2024-01-04,Referral,28.0,Bandung
5,2024-01-05,Referral,47.0,Bandung
6,2024-01-06,Affiliate,29.0,Bandung
7,2024-01-07,Organic,53.0,Bandung
8,2024-01-08,Organic,44.0,Bandung
9,2024-01-09,Referral,35.0,Surabaya
10,2024-01-10,Ads,,Jakarta
11,2024-01-11,Referral,52.0,Surabaya
12,2024-01-12,Referral,44.0,Bandung
13,2024-01-13,Referral,32.0,Jakarta
14,2024-01-14,Referral,22.0,Bandung
15,2024-01-15,Affiliate,,Jakarta
16,2024-01-16,Organic,37.0,Surabaya
17,2024-01-17,Affiliate,22.0,Jakarta
18,2024-01-18,Affiliate,22.0,Jakarta
19,2024-01-19,Affiliate,48.0,Jakarta
20,2024-01-20,Referral,43.0,Jakarta
21,2024-01-21,Ads,52.0,Jakarta
22,2024-01-22,Organic,53.0,Bandung
23,2024-01-23,Ads,21.0,Jakarta
24,2024-01-24,Affiliate,39.0,Jakarta
25,2024-01-25,Affiliate,22.0,Surabaya
26,2024-01-26,Ads,46.0,Jakarta
27,2024-01-27,Ads,52.0,Surabaya
28,2024-01-28,Ads,26.0,Bandung
29,2024-01-29,Affiliate,52.0,Jakarta
30,2024-01-30,Affiliate,24.0,Surabaya
31,2024-01-31,Organic,31.0,Surabaya
32,2024-02-01,Organic,37.0,Bandung
33,2024-02-02,Affiliate,44.0,Jakarta
34,2024-02-03,Ads,25.0,Jakarta
35,2024-02-04,Ads,54.0,Surabaya
36,2024-02-05,Organic,26.0,Jakarta
37,2024-02-06,Affiliate,42.0,Surabaya
38,2024-02-07,Organic,31.0,Jakarta
39,2024-02-08,Organic,36.0,Surabaya
40,2024-02-09,Referral,53.0,Jakarta
41,2024-02-10,Referral,29.0,Bandung
42,2024-02-11,Referral,,Jakarta
43,2024-02-12,Ads,36.0,Jakarta
44,2024-02-13,Affiliate,49.0,Bandung
45,2024-02-14,Affiliate,23.0,Jakarta
46,2024-02-15,Affiliate,40.0,Bandung
47,2024-02-16,Affiliate,39.0,Jakarta
48,2024-02-17,Referral,46.0,Surabaya
49,2024-02-18,Ads,23.0,Surabaya
50,2024-02-19,Ads,39.0,Jakarta
51,2024-02-20,Referral,40.0,Jakarta
52,2024-02-21,Ads,52.0,Jakarta
53,2024-02-22,Referral,27.0,Surabaya
54,2024-02-23,Affiliate,53.0,Jakarta
55,2024-02-24,Referral,38.0,Surabaya
56,2024-02-25,Affiliate,21.0,Bandung
57,2024-02-26,Affiliate,31.0,Surabaya
58,2024-02-27,Organic,48.0,Surabaya
59,2024-02-28,Referral,45.0,Bandung
60,2024-02-29,Organic,43.0,Surabaya
61,2024-03-01,Referral,51.0,Jakarta
62,2024-03-02,Referral,50.0,Jakarta
63,2024-03-03,Organic,27.0,Surabaya
64,2024-03-04,Organic,36.0,Jakarta
65,2024-03-05,Referral,46.0,Surabaya
66,2024-03-06,Ads,22.0,Jakarta
67,2024-03-07,Affiliate,21.0,Jakarta
68,2024-03-08,Organic,32.0,Surabaya
69,2024-03-09,Affiliate,25.0,Jakarta
70,2024-03-10,Ads,52.0,Surabaya
71,2024-03-11,Ads,29.0,Jakarta
72,2024-03-12,Ads,39.0,Jakarta
73,2024-03-13,Organic,36.0,Bandung
74,2024-03-14,Ads,23.0,Bandung
75,2024-03-15,Organic,40.0,Surabaya
76,2024-03-16,Ads,44.0,Bandung
77,2024-03-17,Affiliate,53.0,Surabaya
78,2024-03-18,Affiliate,44.0,Bandung
79,2024-03-19,Referral,,Jakarta
80,2024-03-20,Affiliate,28.0,Surabaya
81,2024-03-21,Referral,40.0,Surabaya
82,2024-03-22,Affiliate,45.0,Jakarta
83,2024-03-23,Organic,45.0,Surabaya
84,2024-03-24,Affiliate,49.0,Surabaya
85,2024-03-25,Referral,38.0,Bandung
86,2024-03-26,Referral,38.0,Surabaya
87,2024-03-27,Ads,22.0,Jakarta
88,2024-03-28,Organic,36.0,Bandung
89,2024-03-29,Affiliate,53.0,Bandung
90,2024-03-30,Ads,24.0,Jakarta
91,2024-03-31,Affiliate,53.0,Jakarta
92,2024-04-01,Affiliate,34.0,Bandung
93,2024-04-02,Ads,,Surabaya
94,2024-04-03,Ads,40.0,Bandung
95,2024-04-04,Ads,28.0,Jakarta
96,2024-04-05,Ads,27.0,Bandung
97,2024-04-06,Ads,23.0,Jakarta
98,2024-04-07,Affiliate,,Bandung
99,2024-04-08,Ads,53.0,Surabaya
100,2024-04-09,Organic,32.0,Bandung
101,2024-04-10,Referral,42.0,Bandung
102,2024-04-11,Ads,42.0,Jakarta
103,2024-04-12,Ads,50.0,Jakarta
104,2024-04-13,Affiliate,28.0,Jakarta
105,2024-04-14,Ads,47.0,Bandung
106,2024-04-15,Ads,47.0,Surabaya
107,2024-04-16,Ads,54.0,Jakarta
108,2024-04-17,Affiliate,41.0,Jakarta
109,2024-04-18,Ads,50.0,Bandung
110,2024-04-19,Referral,53.0,Jakarta
111,2024-04-20,Affiliate,48.0,Surabaya
112,2024-04-21,Referral,53.0,Surabaya
113,2024-04-22,Affiliate,25.0,Jakarta
114,2024-04-23,Ads,39.0,Jakarta
115,2024-04-24,Referral,24.0,Bandung
116,2024-04-25,Affiliate,37.0,Surabaya
117,2024-04-26,Organic,48.0,Surabaya
118,2024-04-27,Ads,50.0,Jakarta
119,2024-04-28,Affiliate,49.0,Bandung
120,2024-04-29,Organic,26.0,Surabaya
121,2024-04-30,Affiliate,44.0,Surabaya
122,2024-05-01,Organic,49.0,Bandung
123,2024-05-02,Ads,51.0,Bandung
124,2024-05-03,Referral,,Surabaya
125,2024-05-04,Organic,41.0,Surabaya
126,2024-05-05,Affiliate,52.0,Bandung
127,2024-05-06,Ads,43.0,Surabaya
128,2024-05-07,Organic,53.0,Jakarta
129,2024-05-08,Affiliate,23.0,Jakarta
130,2024-05-09,Affiliate,38.0,Bandung
131,2024-05-10,Affiliate,45.0,Bandung
132,2024-05-11,Organic,51.0,Bandung
133,2024-05-12,Organic,23.0,Jakarta
134,2024-05-13,Organic,44.0,Surabaya
135,2024-05-14,Referral,52.0,Jakarta
136,2024-05-15,Organic,42.0,Surabaya
137,2024-05-16,Organic,43.0,Jakarta
138,2024-05-17,Organic,22.0,Surabaya
139,2024-05-18,Referral,47.0,Jakarta
140,2024-05-19,Organic,22.0,Bandung
141,2024-05-20,Affiliate,46.0,Jakarta
142,2024-05-21,Organic,37.0,Surabaya
143,2024-05-22,Affiliate,53.0,Jakarta
144,2024-05-23,Affiliate,29.0,Jakarta
145,2024-05-24,Affiliate,49.0,Jakarta
146,2024-05-25,Referral,46.0,Bandung
147,2024-05-26,Referral,45.0,Jakarta
148,2024-05-27,Referral,44.0,Bandung
149,2024-05-28,Organic,33.0,Bandung
150,2024-05-29,Affiliate,27.0,Jakarta
151,2024-05-30,Referral,40.0,Jakarta
152,2024-05-31,Referral,21.0,Jakarta
153,2024-06-01,Organic,28.0,Surabaya
154,2024-06-02,Referral,36.0,Jakarta
155,2024-06-03,Organic,34.0,Bandung
156,2024-06-04,Ads,32.0,Jakarta
157,2024-06-05,Referral,43.0,Surabaya
158,2024-06-06,Ads,35.0,Jakarta
159,2024-06-07,Organic,48.0,Surabaya
160,2024-06-08,Affiliate,54.0,Surabaya
161,2024-06-09,Referral,22.0,Jakarta
162,2024-06-10,Organic,52.0,Bandung
163,2024-06-11,Affiliate,43.0,Surabaya
164,2024-06-12,Affiliate,42.0,Jakarta
165,2024-06-13,Ads,45.0,Jakarta
166,2024-06-14,Organic,42.0,Bandung
167,2024-06-15,Affiliate,42.0,Surabaya
168,2024-06-16,Referral,26.0,Surabaya
169,2024-06-17,Referral,35.0,Jakarta
170,2024-06-18,Ads,53.0,Jakarta
171,2024-06-19,Affiliate,28.0,Bandung
172,2024-06-20,Organic,25.0,Bandung
173,2024-06-21,Referral,24.0,Surabaya
174,2024-06-22,Affiliate,26.0,Surabaya
175,2024-06-23,Affiliate,52.0,Jakarta
176,2024-06-24,Ads,50.0,Surabaya
177,2024-06-25,Referral,36.0,Bandung
178,2024-06-26,Referral,33.0,Bandung
179,2024-06-27,Organic,50.0,Jakarta
